title,url,img_url,host,period,tags
[코딩이랑 무관합니다만 X 한빛미디어]전문가커뮤니티와 무관합니다만...,https://festa.io/events/5502,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-29-21-36-0462-438d8b1c.jpg&w=640&q=75,"코딩이랑 무관합니다만,",2024.06.10 (월) ~ 2024.07.20 (토),"오프라인, 무료, 모임, 기술일반"
프론트엔드 개발자 오르미 양성광정 6기,https://inthiswork.com/archives/126614,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-06-04-22-17-4488-44efa72f.png&w=640&q=75,이스트소프트,2024.06.04 (화) ~ 2024.07.22 (월),"온라인, 무료, 프론트엔드	"
2024 WASSUP42,https://festa.io/events/5373,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-11-23-46-0910-f7e67b4d.png&w=640&q=75,2024 WASSUP42,2024.06.03 (월) ~ 2024.07.12 (금),"온라인, 유료, 기술일반, 모임"
2024 블록체인 경진대회 「BEST Challenge」...,https://litt.ly/2024best,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-18-23-34-0642-47eca32a.png&w=640&q=75,과학기술정보통신부,2024.06.14 (금) ~ 2024.07.23 (화),"온라인, 무료, 기술일반"
[AI × 독서모임] 인공지능 책 함께 읽어요!,https://festa.io/events/5317,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-28-08-14-4399-ca973e4f.jpg&w=640&q=75,ArtByte,2024.05.27 (월) ~ 2024.07.24 (수),"오프라인, 무료, AI	"
2024 MeetLab,https://festa.io/events/5460,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-24-22-38-3806-81259f6e.png&w=640&q=75,Coding Lab,2024.06.24 (월) ~ 2024.07.26 (금),"오프라인, 무료, 기술일반"
해커그라운드 해커톤 2024,https://github.com/hackersground-kr/hackers-ground,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-23-00-49-2442-c7df5b30.png&w=640&q=75,의성군,2024.06.19 (수) ~ 2024.07.28 (일),"오프라인, 무료, 대회"
2024 블레이버스 MVP 개발 해커톤,https://alkaline-pearl-02a.notion.site/2024-MVP-8386b46f328d4b02b36284f9448fdc1d,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-25-23-24-2505-89f8681a.png&w=640&q=75,블레이버스,2024.06.24 (월) ~ 2024.07.31 (수),"온라인, 오프라인, 무료, 대회"
인프콘 2024,https://www.inflearn.com/infcon-2024/teaser,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-48-1157-6dcb0266.png&w=640&q=75,인프런,2024.08.02 (금) ~ 00:00,"오프라인, 무료, 기술일반"
DebConf24,https://debconf24.debconf.org/,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-10-05-50-4707-7826541c.jpg&w=640&q=75,데비안 프로젝트,2024.07.28 (일) ~ 2024.08.04 (일),"오프라인, 무료, 기술일반"
오라클 클라우드 서비스 웹 어플리케이션 구축 및 유지 관리...,https://docs.google.com/forms/d/e/1FAIpQLSdFSrNPtkLOXmgPsQ_bUyZqYNNQw1z46Ismx47p0UAFU3_nTw/viewform,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-25-23-30-4668-e12597a7.jpeg&w=640&q=75,GT Plus,2024.06.24 (월) ~ 2024.07.26 (금),"오프라인, 무료, 클라우드"
Gemini API 개발자 대회,https://ai.google.dev/competition?hl=ko,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-18-22-17-1274-2361995e.png&w=640&q=75,구글,2024.05.17 (금) ~ 2024.08.12 (월),"온라인, 무료, AI	"
FEConf 2024,https://2024.feconf.kr/,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-24-22-11-3412-719ab4c0.png&w=640&q=75,FEConf,2024.08.24 (토) ~ 00:00,"오프라인, 유료, 프론트엔드	"
KWDC24,https://kwdc.dev/2024/,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-11-23-36-2400-15d86c8f.png&w=640&q=75,APPLE,2024.10.25 (금) ~ 00:00,"오프라인, 유료, 기술일반"
프론트엔드 개발자 과정,https://k-digital.goorm.io/b2g/kdt/frontend,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-20-01-05-1373-dda0ba52.png&w=640&q=75,구름,2024.06.14 (금) ~ 2024.07.08 (월),"실시간 비대면, 무료, 교육"
GopherCon Korea 2024,https://festa.io/events/5098,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-38-0170-4d7db9a4.png&w=640&q=75,Golang Korea,2024.04.01 (월) ~ 2024.10.31 (목),"오프라인, 유료, 기술일반"
벡엔드 개발자 오르미 양성광정 6기,https://inthiswork.com/archives/126609,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-06-04-22-19-3922-227b5a10.png&w=640&q=75,이스트소프트,2024.06.04 (화) ~ 2024.07.22 (월),"온라인, 무료, 백엔드"
UbuCon Korea 2024,https://2024.ubuntu-kr.org/ko/,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-36-1213-b3b467e4.png&w=640&q=75,우분투 한국커뮤니티,2024.04.17 (수) ~ 2024.08.09 (금),"오프라인, 무료, 기술일반"
제 8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전...,https://contest.k-paas.org/,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-38-4473-3edc6a02.png&w=640&q=75,K-PaaS,2024.04.01 (월) ~ 2024.10.31 (목),"온라인, 무료, 클라우드"
